UserID,Ended,Q. Please check this box to confirm that you're in the target group for this survey.,Q1. How do you think this word should be spelled?,Q2. Which of the following best describe(s) in English how you think of yourself?,,,,,,,,,,,,,,,,,,,,,,,"Q3. Tell us about any words not listed above that you use to describe yourself in English, in any order.",,,,,"Q4. Supposing all title fields on forms were optional and write-your-own, what would you want yours to be in English? (Please note that you should currently be entitled to use it - for example, you should only enter Dr if you have a doctorate.)",,"Q5. Supposing all pronouns were accepted by everyone without question and were easy to learn, which pronouns are you happy for people to use for you in English?",,,,,,,,,,,,,Q6. Fill in the blanks.,,,,,"Q7. If your pronoun set is ever referred to in a way other than the first two forms separated by a forward slash (eg: he/him), what is it?","Q8. For the pronoun set [question(6243833,51112219)]/[question(6243833,51112220)]/[question(6243833,51112221)]/[question(6243833,51112222)]/[question(6243833,51112223)], which is correct?",Q9. Would you like to tell us about another set of pronouns?,Q10. Fill in the blanks.,,,,,"Q11. If your pronoun set is ever referred to in a way other than the first two forms separated by a forward slash (eg: he/him), what is it?","Q12. For the pronoun set [question(6243837,51112234)]/[question(6243837,51112235)]/[question(6243837,51112236)]/[question(6243837,51112237)]/[question(6243837,51112238)], which is correct?",Q13. Would you like to tell us about another set of pronouns?,Q14. Fill in the blanks.,,,,,"Q15. If your pronoun set is ever referred to in a way other than the first two forms separated by a forward slash (eg: he/him), what is it?","Q16. For the pronoun set [question(6243841,51112242)]/[question(6243841,51112243)]/[question(6243841,51112244)]/[question(6243841,51112245)]/[question(6243841,51112246)], which is correct?",Q17. Would you like to tell us about another set of pronouns?,Q18. Fill in the blanks.,,,,,"Q19. If your pronoun set is ever referred to in a way other than the first two forms separated by a forward slash (eg: he/him), what is it?","Q20. For the pronoun set [question(6243845,51112250)]/[question(6243845,51112251)]/[question(6243845,51112252)]/[question(6243845,51112253)]/[question(6243845,51112254)], which is correct?",Q21. Would you like to tell us about another set of pronouns?,Q22. Fill in the blanks.,,,,,"Q23. If your pronoun set is ever referred to in a way other than the first two forms separated by a forward slash (eg: he/him), what is it?","Q24. For the pronoun set [question(6243849,51112258)]/[question(6243849,51112259)]/[question(6243849,51112260)]/[question(6243849,51112261)]/[question(6243849,51112262)], which is correct?","Q25. Do you live in the UK? (If you're not sure, choose the answer that is true for most of the time.)

I'm asking this because every year I make two reports - an international report, and a UK report.","Q26. Feedback box

Please note that your comments will be anonymous; if you'd like me to be able to reply, please email me at hello@gendercensus.com."
,,,,Q2.1. agender,Q2.2. androgyne,Q2.3. bigender,Q2.4. binary,Q2.5. cisgender,Q2.6. demigender,Q2.7. enby,Q2.8. genderfluid/fluid gender,Q2.9. genderflux,Q2.10. genderqueer,Q2.11. man (or boy if younger),Q2.12. neutral,Q2.13. neutrois,Q2.14. nonbinary,Q2.15. questioning or unknown,Q2.16. third gender,Q2.17. trans,Q2.18. trans*,Q2.19. transfeminine,Q2.20. transgender,Q2.21. transmasculine,Q2.22. woman (or girl if younger),Q2.23. none/I do not describe myself,Q3.1. Word:,Q3.2. Word:,Q3.3. Word:,Q3.4. Word:,Q3.5. Word:,Answer,Comments:,Q5.1. It - it/it/its/its/itself,Q5.2. She - she/her/her/hers/herself,Q5.3. Any,Q5.4. Spivak - e/em/eir/eirs/emself,Q5.5. Singular they - they/them/their/theirs/themself,Q5.6. Questioning or unknown,Q5.7. Xe - xe/xem/xyr/xyrs/xemself,Q5.8. Ze - ze/hir/hir/hirs/hirself,Q5.9. He - he/him/his/his/himself,Q5.10. None/avoid pronouns,Q5.11. Fae - fae/faer/faer/faers/faeself,Q5.12. Mix it up,Q5.13. A pronoun set not listed here,"Q6.1. ""Ask Sam if _____ would like to buy a newspaper."" (eg: he, she, they)","Q6.2. ""Sam bought the newspaper, so now it belongs to _____."" (eg: him, her, them)","Q6.3. ""Sam is reading _____ newspaper."" (eg: his, her, their)","Q6.4. ""Whose newspaper is it?"" ""It belongs to Sam, so it's _____."" (eg: his, hers, theirs)","Q6.5. ""Sam bought it for _____."" (eg: himself, herself)",,,,"Q10.1. ""Ask Sam if _____ would like to buy a newspaper."" (eg: he, she, they)","Q10.2. ""Sam bought the newspaper, so now it belongs to _____."" (eg: him, her, them)","Q10.3. ""Sam is reading _____ newspaper."" (eg: his, her, their)","Q10.4. ""Whose newspaper is it?"" ""It belongs to Sam, so it's _____."" (eg: his, hers, theirs)","Q10.5. ""Sam bought it for _____."" (eg: himself, herself)",,,,"Q14.1. ""Ask Sam if _____ would like to buy a newspaper."" (eg: he, she, they)","Q14.2. ""Sam bought the newspaper, so now it belongs to _____."" (eg: him, her, them)","Q14.3. ""Sam is reading _____ newspaper."" (eg: his, her, their)","Q14.4. ""Whose newspaper is it?"" ""It belongs to Sam, so it's _____."" (eg: his, hers, theirs)","Q14.5. ""Sam bought it for _____."" (eg: himself, herself)",,,,"Q18.1. ""Ask Sam if _____ would like to buy a newspaper."" (eg: he, she, they)","Q18.2. ""Sam bought the newspaper, so now it belongs to _____."" (eg: him, her, them)","Q18.3. ""Sam is reading _____ newspaper."" (eg: his, her, their)","Q18.4. ""Whose newspaper is it?"" ""It belongs to Sam, so it's _____."" (eg: his, hers, theirs)","Q18.5. ""Sam bought it for _____."" (eg: himself, herself)",,,,"Q22.1. ""Ask Sam if _____ would like to buy a newspaper."" (eg: he, she, they)","Q22.2. ""Sam bought the newspaper, so now it belongs to _____."" (eg: him, her, them)","Q22.3. ""Sam is reading _____ newspaper."" (eg: his, her, their)","Q22.4. ""Whose newspaper is it?"" ""It belongs to Sam, so it's _____."" (eg: his, hers, theirs)","Q22.5. ""Sam bought it for _____."" (eg: himself, herself)",,,,""""
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""""
72814409,01/02/2018 20:49:00,Yes,non-binary,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,-,-,-,-,-,Mx,-,No,No,No,No,Yes,No,No,No,Yes,No,No,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"No, I do not live in the UK",-
72814405,01/02/2018 20:51:00,Yes,non-binary,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Nologender,-,-,-,-,Mx,-,No,No,No,No,Yes,No,No,No,No,No,No,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"No, I do not live in the UK",-
72814552,01/02/2018 20:51:00,Yes,non-binary,Yes,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,Yes,No,No,No,No,No,No,-,-,-,-,-,Mx,I intend to use Dr once I get my PhD in a few years,No,No,No,No,Yes,No,No,No,No,No,No,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Yes, I live in the UK",-
72814748,01/02/2018 20:54:00,Yes,non-binary,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,Yes,No,No,Yes,No,-,-,-,-,-,No title at all,-,No,Yes,No,No,Yes,No,No,No,No,No,No,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"No, I do not live in the UK",-
72814437,01/02/2018 20:55:00,Yes,I don't know/I don't care,No,No,No,No,No,Yes,Yes,Yes,No,No,No,No,No,Yes,Yes,No,Yes,No,No,Yes,No,No,No,Maverique,-,-,-,-,No title at all,"Second choice would be a non-binary specific title, followed by any gender neutral title",No,No,No,No,Yes,No,No,No,No,No,No,No,Yes,they,them,their,theirs,themself,singular they,"""What are [question(6243833,51112219)] reading?""","Yes, I have another set to tell you about",ze,zir,zir,zirs,zirself,-,"""What is [question(6243837,51112234)] reading?""","Yes, I have another set to tell you about",ze,zem,zir,zirs,zemself,-,"""What is [question(6243841,51112242)] reading?""","No, take me to the next section",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"No, I do not live in the UK",-
72814780,01/02/2018 20:55:00,Yes,nonbinary,Yes,No,No,No,No,No,Yes,No,No,Yes,No,No,No,Yes,Yes,No,Yes,No,No,Yes,Yes,No,No,-,-,-,-,-,No title at all,-,No,No,No,No,Yes,Yes,No,No,No,Yes,No,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"No, I do not live in the UK",-
72814775,01/02/2018 20:56:00,Yes,nonbinary,No,No,No,No,No,No,No,No,No,Yes,No,No,No,Yes,No,No,Yes,No,No,Yes,Yes,No,No,Specifically the combination of 'Genderqueer/transmasculine',-,-,-,-,Mx,-,No,No,No,No,Yes,No,No,No,No,No,No,No,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Yes, I live in the UK",thanks as always for running this! best of luck with the data this year!!
72814819,01/02/2018 20:56:00,Yes,non-binary,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,Yes,No,No,No,No,-,-,-,-,-,Dr,-,No,No,No,No,No,No,No,No,No,No,No,Yes,No,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"Yes, I live in the UK",-
